,1931,1932,1933,1934,1935,1936,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1989,1990,1990,1991,1991,1992,1992,1993,1993,,1994,1994,1995,,1996,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,,2008,,2009,,2010,,2011,,"2,012",,"2,013",,"2,014",,2015,,,"2,016",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Specimens,Institutions,Specimens,Institutions,Specimens,Institutions,Specimens,Institutions,Specimens,Institutions,,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,Specimens,Inst./Indiv.,,,Specimens,Inst./Indiv.,Specimens,Inst/Indiv,,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,Specimens,Inst/Indiv,,Specimens,Inst/Indiv
COLLECTION DEVELOPMENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COLLECTION DEVELOPMENT,,,,,,,,,,,,,,,,,COLLECTION DEVELOPMENT,,
 Exchanges Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289,,422,,"1,723",,355,,637,,,601,9,859,8,303,3,"1,105",4,827,4,"1,182",8,850,8,502,9,"1,831",11,613,8,493,6,"1,313",4,"1,016",7,"1,072",8, Exchanges Received,939,9,200,4,415,5,438,2,308,3,"1,578",8,606,6,397,4, Exchanges Received,610,5
 Gifts Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,100,,127,,41,,102,,,829,15,687,14,979,14,"1,201",,"1,054",,281,6,1,1,573,12,566,14,97,9,222,11,"1,833",15,308,9,340,7, Gifts Received,454,15,761,68,868,9,505,5,610,7,497,8,283,5,378,8, Gifts Received,"1,166",11
 Staff Collections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,893,,,916,,746,,98,,214,,357,,960,6,477,9,344,5,207,5,157,4,476,4,103,3,341,4,226,2, Staff Collections,253,3,,,475,3,235,4,194,1,57,6,250,3,139,3, Staff Collections,105,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIMEN TOTAL,0,"2,147","5,684","10,599","15,000","19,857","23,608","31,852","37,937","46,128","50,968","55,968","61,890","64,488","67,085","74,726","78,040","79,704","80,951","84,354","86,291","89,812","93,677","95,657","96,807","97,367","98,226","99,201","100,044","102,544","104,401","106,190","108,235","110,795","113,980","117,030","120,135","125,325","128,355","130,086","133,718","136,910","139,396","143,335","146,336","151,337","156,533","163,465","166,111","172,757","176,071","182,220","186,565","191,653","196,719","200,025","203,949","206,134",,"206,993",,"208,540",,"209,418",,"211,001",,,"213,500",,"218,030",,"219,515",,"221,977",,"225,301",,"227,347",,"230,097",,"232,757",,"234,687",,"236,679",,"239,454",,"244,235",,"246,405",,"248,154",,SPECIMEN TOTAL,"250,002",,"251,518",,"253,407",,"256,764",,"260,227",,"267,194",,"274,169",,"275,475",,SPECIMEN TOTAL,"277,746",
 Specimen Increase,,"2,147","3,537","4,915","4,401","4,857","3,751","8,244","6,085","8,191","4,840","5,000","5,922","2,598","2,597","7,641","3,314","1,664","1,247","3,403","1,937","3,521","3,865","1,980","1,150",560,859,975,843,"2,500","1,857","1,789","2,045","2,560","3,185","3,050","3,105","5,190","3,030","1,731","3,632","3,192","2,486","3,939","3,001","5,001","5,196","6,932","2,646","6,646","3,314","6,149","4,345","5,088","5,066","3,306","3,924","2,185",,859,,"1,547",,878,,"1,583",,,"2,499","2,715","4,530",,"1,485",,"2,462",,"3,324",,"2,046",,"2,750",,"2,660",,"1,930",,"1,992",,"2,775",,"4,781",,"2,170",,"1,749",, Specimen Increase,"1,848",,"1,516",,"1,889",,"3,357",,"3,463",,"6,967",,"6,975",,"1,306",, Specimen Increase,"2,271",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTHER SPECIMEN ACTIVITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OTHER SPECIMEN ACTIVITY,,,,,,,,,,,,,,,,,OTHER SPECIMEN ACTIVITY,,
 Exchange Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853,868,"1,395","3,351","2,459","1,606",,149,"2,624",819,"3,242","2,345",609,366,400,,641,8,92,4,"1,114",21,625,19,,"1,276",14,"1,686",19,0,0,"1,456",15,854,17,"1,419",19,0,0,"2,230",29,34,1,585,34,0,0,1,1,539,34,12,1, Exchange Sent,5,1,2,1,103,2,25,5,50,2,488,17,150,3,53,3, Exchange Sent,150,2
 Loans Sent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277,,800,5,266,8,"1,078",16,708,14,,"1,133",14,"1,296",16,99,3,"1,342",13,491,15,435,12,725,8,233,17,"1,175",12,3,3,940,20,768,12,660,12,650,9, Loans Sent,538,14,620,8,"1,323",13,"1,330",17,470,12,570,13,321,6,162,6, Loans Sent,204,4
 Loans Received,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,062",,"6,558",22,294,5,62,4,"1,037",16,,"2,071",25,237,8,144,5,"1,150",13,517,6,88,6,468,12,257,14,13,5,284,9,"2,456",21,"4,180",31,"1,022",32,686,18, Loans Received,"1,551",22,342,12,836,12,151,5,1,1,950,11,0,0,0,0, Loans Received,0,0
 Loans Returned to UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,423,,"2,660",4,689,7,736,8,"1,235",20,,795,26,"1,400",14,205,1,282,4,413,8,572,7,249,4,629,8,311,10,648,5,876,13,"1,203",16,289,8,799,8, Loans Returned to UTC,653,7,"1,079",8,788,19,"1,015",4,168,8,83,3,53,3,356,9, Loans Returned to UTC,378,5
 Loans Returned by UTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516,,287,30,575,10,679,16,"1,138",16,,"1,266",13,"1,194",15,3,1,875,6,266,11,"2,410",15,56,4,3,2,583,17,38,6,176,11,663,9,41,5,"7,781",63, Loans Returned by UTC,196,12,214,7,53,9,204,12,261,7,1,1,11,2,36,3, Loans Returned by UTC,152,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Loans Transferred by UTC,501,9
 Local Loans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,62,4,,79,8,214,18,12,1,0,0,13,2,9,1,0,0,22,2,19,1,239,2,143,3,180,6,225,7,182,8, Local Loans,121,4,70,4,9,3,21,6,18,1,23,3,17,1,37,3, Local Loans,18,3
 Photographic Slides Loaned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,35,,,36,,241,,176,,98,,98,15,108,11,105,7,617,7,236,4,221,3,45,3,70,4,,2,33,1, Photographic Slides Loaned,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0, Photographic Slides Loaned,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERVICE,,,,,,,,,,,,,,,,,SERVICE,,
Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,,,Time,Requests,Time,Requests,Utah State University,,,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Time,Requests,Utah State University,Time,Requests
 Biology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,550",9,435,9,,870,35,365,11,180,9,327,13,195,6,55,1,335,7,80,2,300,8,180,2,4,3,9,5,330,5,450,4, Biology,150,3,780,8,435,7,240,3,195,4,360,6,300,4,525,6, Biology,945,9
 Natural Resources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,4,270,18,,465,15,"1,975",21,"1,160",19,100,3,90,4,835,12,160,5,430,5,"1,425",14,360,8,39,5,55,15,186,3,540,6, Natural Resources,240,1,570,3,180,2,480,6,135,4,270,8,"1,215",14,"2,075",23, Natural Resources,"2,595",30
 Landscape Architecture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,8,290,9,,245,9,"1,200",30,695,14,340,2,480,4,15,1,,,30,1,420,2,60,1,7,2,5,3,0,0,60,2, Landscape Architecture,0,0,60,1,0,0,0,0,0,0,60,3,90,1,45,1, Landscape Architecture,135,6
" Plants, Soils, & Biometeorology",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,10,395,5,,55,3,585,22,215,11,10,1,310,5,120,4,"1,070",14,15,1,120,2,480,5,3,3,14,10,210,2,405,5," Plants, Soils, & Biometeorology",240,2,225,4,270,5,120,3,180,2,135,3,90,1,135,3," Plants, Soils, & Biometeorology",720,6
 Extension,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,695,14,145,12,,155,7,"7,625",12,290,5,"1,415",8,50,2,60,1,300,7,345,7,45,2,540,5,3,3,6,3,285,5,30,1, Extension,165,3,360,8,15,1,600,5,945,10,"1,035",17,"1,845",22,"3,245",35, Extension,"3,375",45
 Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,6,655,14,,430,13,605,9,585,11,630,6,740,6,120,4,310,9,120,4,,,360,8,13,13,23,10,555,3,0,0, Miscellaneous,330,2,45,1,120,3,90,4,150,1,300,6,150,5,225,8, Miscellaneous,240,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,,450,,"1,280",,820,,205,,"1,920",,"1,440",,"13,440",,108,5,"1,870",20,,,"1,020",18,UTC development,"6,120",36,,,"9,600",80,,,"6,780",4,"1,005",9,960,2,960,2,UTC development,960,4
Total: Utah State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,560",,"8,304",114,"2,568",68,"2,995",51,"2,190",67,,"2,220",82,"12,355",105,"3,905",69,"3,272",33,"3,145",27,"2,025",23,"2,175",42,"2,940",20,"3,750",28,"15,420",29,"10,440",34,"1,982",68,"1,566",18,"2,910",36,Total: Utah State University,"7,245",47,"2,040",25,"10,620",98,"1,530",21,"8,385",25,"3,165",52,"4,650",49,"7,210",78,Total: Utah State University,"8,970.00",76
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Local,,,,,,,,,,,,,,,,,Local,,
 Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940,23,362,10,695,18,,"1,135",30,"2,085",43,650,20,205,9,995,10,350,8,110,4,680,8,"1,455",13,60,1,2,1,44,12,255,3,210,2, Consultants,360,3,405,6,345,7,300,6,405,6,120,3,120,3,120,3, Consultants,45,1
 Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,4,30,2,185,3,,75,2,"1,100",13,"1,185",6,"2,330",26,260,3,185,4,150,4,75,1,420,7,180,2,0,0,17,4,"4,425",4,720,6, Schools,"1,650",6,960,6,720,3,0,0,150,1,150,2,0,0,90,1, Schools,180,1
 Scouts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,015",10,645,4,,300,6,360,3,180,,30,1,30,1,45,2,,,90,1,,,0,0,0,0,6,3,900,3,120,9, Scouts,300,3,300,5,255,3,690,5,435,5,90,3,150,3,240,1, Scouts,180,4
 General Public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,11,460,11,670,27,,855,29,"1,410",45,520,,"1,735",35,775,13,555,16,860,15,405,4,135,5,600,16,20,19,30,16,840,12,810,13, General Public,"2,205",23,"1,230",18,"1,815",28,"1,575",23,"1,635",20,"1,570",29,"1,470",23,"1,485",24, General Public,"2,370",44
 Miscellaneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,1,,,,,,,,,,,,,,,,,,330,4,,,120,1,1,2,4,2,45,1,60,1, Miscellaneous,0,0,210,1,465,3,240,4,30,1,90,2,480,6,510,15, Miscellaneous,0,0
Total: Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,310",38,"1,912",34,"2,195",52,,"2,365",67,"4,955",104,"2,535",26,"4,300",71,"2,060",27,"1,135",30,"1,120",23,"1,580",18,"2,010",25,960,20,"1,320",23,101,37,"6,465",23,"1,980",31,Total: Local,"4,515",35,"3,105",36,"3,600",44,"2,805",38,"2,655",33,"2,020",39,"2,220",35,"2,445",44,Total: Local,"2,775",50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federal Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Federal Agencies,,,,,,,,,,,,,,,,,Federal Agencies,,
" Miscellaneous [NAS, DOD]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,,,30,1,0,0,0,0,0,0,,,,,135,3,60,1,,,420,2,3,2,0,0,0,0,0,0," Miscellaneous [NAS, DOD]",900,1,0,0,0,0,0,0,75,2,0,0,0,0,0,0," Miscellaneous [NAS, DOD]",0,0
" USDA [ARS, USFS, SCS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,555",,"1,668",33,,,"1,255",17,740,29,,570,24,875,28,800,14,495,14,770,11,715,14,840,14,240,5,"1,290",18,"1,860",14,30,16,88,20,648,9,"1,290",10," USDA [ARS, USFS, SCS]","2,235",12,"1,320",8,450,7,840,7,"1,095",12,990,9,930,11,900,13," USDA [ARS, USFS, SCS]","1,380",12
" USDI [NPS, BLM, NBS]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,810,4,"1,955",10,,"1,975",11,261,5,0,0,25,2,360,2,,,180,2,20,1,300,3,480,3,4,3,25,3,240,4,"1,380",6," USDI [NPS, BLM, NBS]",300,3,420,8,600,11,750,5,510,5,435,9,105,2,165,2," USDI [NPS, BLM, NBS]",45,1
Total: Federal Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,555",,"1,668",33,"1,485",42,"2,095",22,"2,695",39,,"2,575",36,"1,136",33,800,14,520,16,"1,130",13,715,14,"1,155",19,320,7,"1,590",21,"2,760",19,37,21,113,23,788,13,"2,670",16,Total: Federal Agencies,"3,435",16,"1,740",16,"1,050",18,"1,590",12,"1,680",19,"1,425",18,"1,035",13,"1,065",15,Total: Federal Agencies,"1,425",13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,Other,,
 Commercial Companies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295,5,530,6,,285,4,480,2,0,0,230,5,95,2,120,1,435,5,30,2,105,3,120,4,24,8,39,2,150,4,840,6, Commercial Companies,750,3,375,5,120,3,690,5,0,0,810,3,90,2,315,4, Commercial Companies,150,3
 Foreign Governments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,10,1,,0,0,0,0,0,0,20,1,,,30,1,50,1,,,30,1,60,1,22,3,0,0,0,0,120,1, Foreign Governments,0,0,0,0,15,1,0,0,30,1,0,0,0,0,0,0, Foreign Governments,0,0
 Non-profit Agencies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,5,220,3,,635,9,120,6,10,3,140,2,765,4,15,1,240,1,180,1,90,2,60,2,7,6,58,4,75,2,225,3, Non-profit Agencies,"1,230",5,975,10,555,4,960,7,75,3,630,6,225,4,405,5, Non-profit Agencies,525,6
 Other Universities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250,,,,"1,644",37,205,7,"2,705",9,,"1,045",27,305,13,"1,270",18,240,3,820,11,"6,225",4,"1,975",11,135,4,990,6,360,4,42,7,40,5,810,7,"1,635",7, Other Universities,"7,050",9,"2,890",21,735,12,300,6,"1,770",11,"2,340",6,135,2,"1,020",6, Other Universities,"1,230",8
" State of Utah [UDOT, UNH]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,,,,,,110,2,120,7,,130,6,205,10,310,1,0,0,,,,,245,3,45,2,"1,035",17,300,6,33,13,151,12,120,3,480,5," State of Utah [UDOT, UNH]",180,3,270,3,195,4,975,3,0,0,60,1,285,2,150,3," State of Utah [UDOT, UNH]",375,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,3,755,4,,,,,,,720,4,46,8,1,1,240,3,450,6,Other states,60,2,135,4,225,7,450,4,90,4,210,6,195,4,150,4,Other states,105,3
Total: Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385,,,,"1,644",37,785,20,"3,585",26,,"2,095",46,"1,110",31,"1,590",22,630,11,"1,980",20,"7,145",11,"2,945",21,390,9,"2,250",29,"1,500",21,174,45,289,23,"1,395",19,"3,750",28,Total: Other,"9,270",22,"4,645",43,"1,845",31,"3,375",22,"1,965",19,"4,050",22,930,14,"2,040",22,Total: Other,"2,385",30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,100",105,"20,256",147,"7,007",185,"7,787",127,"10,665",184,,"9,255",231,"19,556",273,"8,830",124,"8,722",131,"8,315",87,"11,020",78,"7,395",105,"5,230",54,"9,600",103,"20,760",89,"11,971",123,"2,485",151,"10,214",73,"11,310",111,TOTAL SERVICE,"24,465",120,"11,530",120,"17,115",191,"9,300",93,"14,685",96,"13,960",131,"7,875",109,"12,760",159.00,TOTAL SERVICE,"15,555.00",169
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,                                                                                                                                                                                                                                                                                               ,
